#
# This file gives the expected (or reference) spectral and
# spatial resolution, by channel and central wavelength.
#
#ch  wlen  res  fwhm
b1   68   594   5.0
b1   69   591   5.0
b1   70   589   5.0
b1   71   588   5.0
b1   72   587   5.0
b1   73   586   5.0
b1   74   585   5.0
b1   75   585   5.0
b1   76   585   5.0
b1   77   586   5.0
b1   78   587   5.0
b1   79   589   5.0
b1   80   591   5.0
b1   81   593   5.0
b1   82   595   5.0
b1   83   598   5.0
b1   84   602   5.0
b1   85   606   5.0
b1   86   610   5.0
b1   87   614   5.0
b1   88   619   5.0
b1   89   625   5.0
b1   90   630   5.0
b1   91   637   5.0
b1   92   643   5.0
b1   93   650   5.0
b1   94   657   5.0
b1   95   665   5.0
b1   96   673   5.0
b1   97   681   5.0
b1   98   690   5.0
b1   99   699   5.0
b1   100   709   5.0
b1   101   719   5.0
b1   102   729   5.0
b1   103   740   5.0
b1   104   751   5.0
b1   105   763   5.0
b1   106   775   5.0
b1   107   787   5.0
b1   108   800   5.0
b1   109   813   5.0
b1   110   826   5.0
b1   111   840   5.0
b1   112   854   5.0
b1   113   869   5.0
b1   114   884   5.0
b1   115   899   5.0
b1   116   915   5.0
b1   117   931   5.0
b1   118   948   5.0
b1   119   965   5.0
b1   120   982   5.0
b1   121   1000   5.0
b1   122   1018   5.0
b2   45   947   5.0
b2   46   934   5.0
b2   47   925   5.0
b2   48   919   5.0
b2   49   918   5.0
b2   50   920   5.0
b2   51   926   5.0
b2   52   936   5.0
b2   53   950   5.0
b2   54   968   5.0
b2   55   990   5.0
b2   56   1015   5.0
b2   57   1044   5.0
b2   58   1077   5.0
b2   59   1114   5.0
b2   60   1155   5.0
b2   61   1199   5.0
b2   62   1248   5.0
b2   63   1300   5.0
b2   64   1356   5.0
b2   65   1416   5.0
b2   66   1479   5.0
b2   67   1547   5.0
b2   68   1618   5.0
b2   69   1693   5.0
b2   70   1772   5.0
b2   71   1855   5.0
b2   72   1942   5.0
r   110   675   10.0
r   111   686   10.0
r   112   697   10.0
r   113   709   10.0
r   114   720   10.0
r   115   731   10.0
r   116   742   10.0
r   117   753   10.0
r   118   764   10.0
r   119   775   10.0
r   120   787   10.0
r   121   798   10.0
r   122   809   10.0
r   123   820   10.0
r   124   831   10.0
r   125   842   10.0
r   126   853   10.0
r   127   865   10.0
r   128   876   10.0
r   129   887   10.0
r   130   898   10.0
r   131   909   10.0
r   132   920   10.0
r   133   931   10.0
r   134   942   10.0
r   135   954   10.0
r   136   965   10.0
r   137   976   10.0
r   138   987   10.0
r   139   998   10.0
r   140   1009   10.0
r   141   1020   10.0
r   142   1032   10.0
r   143   1043   10.0
r   144   1054   10.0
r   145   1065   10.0
r   146   1076   10.0
r   147   1087   10.0
r   148   1098   10.0
r   149   1110   10.0
r   150   1121   10.0
r   151   1132   10.0
r   152   1143   10.0
r   153   1154   10.0
r   154   1165   10.0
r   155   1176   10.0
r   156   1188   10.0
r   157   1199   10.0
r   158   1210   10.0
r   159   1221   10.0
r   160   1232   10.0
r   161   1243   10.0
r   162   1254   10.0
r   163   1266   10.0
r   164   1277   10.0
r   165   1288   10.0
r   166   1299   10.0
r   167   1310   10.0
r   168   1321   10.0
r   169   1332   10.0
r   170   1344   10.0
r   171   1355   10.0
r   172   1366   10.0
r   173   1377   10.0
r   174   1388   10.0
r   175   1399   10.0
r   176   1410   10.0
r   177   1422   10.0
r   178   1433   10.0
r   179   1444   10.0
r   180   1455   10.0
r   181   1466   10.0
r   182   1477   10.0
r   183   1488   10.0
r   184   1499   10.0
r   185   1511   10.0
r   186   1522   10.0
r   187   1533   10.0
r   188   1544   10.0
r   189   1555   10.0
r   190   1566   10.0
r   191   1577   10.0
r   192   1589   10.0
r   193   1600   10.0
r   194   1611   10.0
r   195   1622   10.0
r   196   1633   10.0
r   197   1644   10.0
r   198   1655   10.0
r   199   1667   10.0
r   200   1678   10.0
r   201   1689   10.0
r   202   1700   10.0
r   203   1711   10.0
r   204   1722   10.0
r   205   1733   10.0

